X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.346021	-1.131176e-05	2.659688e-06	9.525485e-07	7.707835e-06	
9.347021	-1.443527e-05	-2.082483e-06	6.773629e-06	3.855666e-06	
9.348022	-1.656070e-05	-5.581011e-06	7.252924e-06	-6.959898e-07	
9.349022	-2.064932e-05	-7.232676e-06	4.975656e-06	-6.984144e-08	
9.350022	-1.292285e-05	-3.638851e-06	5.993275e-06	-5.521232e-06	
9.351022	-2.995267e-06	-5.636977e-06	9.286329e-06	-9.959190e-06	
9.352022	-2.149294e-06	-1.090608e-05	2.822207e-06	-6.374707e-06	
9.353022	-5.687439e-06	-1.295548e-05	-4.140327e-06	-5.224985e-06	
9.354022	-1.067591e-05	-1.523068e-05	-3.155725e-06	-5.594832e-06	
9.355022	-7.541745e-06	-1.131606e-05	-6.444384e-06	-9.301341e-06	
9.356022	-2.925160e-06	-4.839780e-06	-5.564500e-06	-1.424602e-05	
9.357022	1.780089e-08	-6.288208e-06	1.336057e-06	-1.106695e-05	
9.358022	7.019473e-06	2.640742e-06	1.514442e-07	-6.737053e-06	
9.359023	5.186676e-06	1.992220e-05	-1.181292e-06	-3.264917e-06	
9.360023	3.293420e-06	1.433519e-05	4.064082e-08	1.302164e-06	
9.361023	2.420191e-06	-9.916461e-07	3.184866e-06	4.186495e-06	
9.362023	-3.645370e-06	-5.024684e-06	9.127739e-06	7.115042e-06	
9.363023	3.392183e-06	-5.718281e-06	7.087469e-06	6.494218e-06	
9.364023	7.873160e-06	-7.307775e-06	2.393799e-06	3.280584e-07	
9.365023	8.595353e-06	-9.726624e-06	1.472325e-06	-6.007444e-06	
9.366023	1.199126e-05	-9.064104e-06	-1.878310e-07	-8.975611e-06	
9.367023	3.517397e-06	-1.122792e-05	-5.420994e-07	-7.478299e-06	
9.368023	1.219935e-05	-1.565268e-05	-1.958560e-06	-1.260509e-06	
9.369023	2.442321e-05	-8.601911e-06	-2.871979e-06	8.392981e-06	
9.370024	1.864190e-05	-8.761544e-07	-7.763541e-07	1.670348e-05	
9.371024	1.644461e-05	-5.530827e-07	-1.067060e-06	1.711038e-05	
9.372024	-7.359318e-07	-2.648660e-06	-1.075500e-06	1.306317e-05	
9.373024	-9.313811e-06	-6.916832e-06	-1.513979e-06	1.087554e-05	
9.374024	1.178054e-05	-8.136543e-06	-4.513260e-06	4.333195e-06	
9.375024	2.111317e-05	-6.697806e-06	-5.163649e-06	-1.700499e-06	
9.376024	1.681314e-05	-3.482288e-06	-4.781022e-06	3.280161e-07	
