NO_OF_FRAMES	132
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:20:41	10788.77882692
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
1149	11.48000	181.608	305.624	1655.446	108.642	479.228	1383.227	147.877	571.765	1094.184	244.766	597.329	880.846	69.824	177.634	1349.644	24.011	127.748	1044.075	71.712	78.304	827.365	123.989	501.789	809.525	107.849	466.590	434.294	-195.983	450.027	220.053	-249.638	409.472	235.276	-179.478	467.739	89.971	-133.276	432.167	50.977	147.299	155.888	830.817	201.597	195.567	452.706	203.310	263.363	69.986	151.980	308.270	26.719	310.303	233.891	25.229	380.584	272.230	28.661
1150	11.49000	192.472	304.651	1656.602	118.394	478.256	1383.996	156.153	570.789	1094.924	247.791	597.183	878.346	81.612	176.304	1350.248	37.766	125.062	1042.702	87.938	75.917	827.877	134.054	501.504	810.430	130.278	465.397	435.419	-175.057	448.917	225.491	-229.309	407.929	239.044	-158.114	470.853	96.529	-110.597	434.468	55.774	157.132	155.056	831.200	205.788	194.440	452.602	203.068	263.207	69.968	151.911	308.335	26.774	310.281	233.542	24.955	380.458	271.973	28.585
1151	11.50000	203.740	303.753	1657.050	128.123	477.240	1385.047	164.167	569.914	1094.985	249.792	597.149	877.242	92.906	174.932	1350.820	50.626	120.986	1045.080	104.344	73.285	829.378	145.343	499.921	810.752	152.773	463.984	437.013	-153.265	448.323	228.897	-208.244	406.714	241.748	-133.882	472.870	102.726	-87.396	437.943	59.197	164.581	155.352	831.702	209.945	193.570	452.672	202.839	263.042	69.985	151.984	308.380	26.736	310.179	233.094	24.767	380.110	271.558	28.592
1152	11.51000	214.993	302.510	1657.892	137.995	476.223	1386.031	171.083	569.125	1095.323	251.689	597.037	876.231	104.012	173.724	1351.453	63.972	118.297	1045.078	120.545	70.708	829.767	157.017	498.721	810.786	175.614	462.860	438.574	-131.278	447.504	231.440	-186.476	405.690	242.842	-107.843	474.323	105.087	-61.602	441.281	64.574	174.324	154.641	833.393	214.821	193.226	452.436	202.659	262.889	70.004	151.847	308.397	27.007	309.928	232.719	24.234	380.043	271.589	28.607
1153	11.52000	225.603	301.886	1658.528	148.112	475.387	1386.869	177.779	568.103	1096.528	253.450	596.954	875.532	115.342	172.459	1352.164	79.433	115.404	1045.186	137.962	68.047	831.169	168.735	497.624	810.831	198.163	461.126	440.301	-107.698	446.395	233.027	-163.922	404.653	242.859	-82.118	474.273	106.862	-34.342	443.562	68.987	184.817	153.775	834.279	218.683	192.991	452.300	202.879	262.915	69.908	151.864	308.326	27.101	309.908	232.287	24.048	379.886	271.571	28.642
1154	11.53000	236.767	301.041	1658.403	158.061	474.510	1387.897	184.280	567.659	1097.328	255.003	596.920	875.133	126.409	171.282	1352.535	92.756	112.544	1046.389	154.612	65.423	832.463	179.854	497.123	811.878	220.403	459.784	441.919	-84.475	445.143	234.210	-141.068	403.950	241.032	-54.805	475.847	111.724	-5.753	444.560	71.580	195.792	152.977	834.368	223.933	193.032	452.724	202.666	262.887	70.356	151.887	308.360	27.282	309.786	232.186	23.764	379.802	271.458	28.466
1155	11.54000	247.424	300.100	1659.171	168.178	473.609	1388.696	190.228	566.990	1097.359	256.940	596.637	874.306	137.086	170.282	1353.143	107.141	110.387	1046.177	171.808	63.053	833.135	191.392	496.813	812.751	242.535	458.219	443.660	-60.188	445.060	232.375	-117.472	403.305	237.548	-24.859	474.908	110.115	24.234	444.707	73.695	205.502	152.299	834.887	228.008	193.003	452.496	203.930	263.198	70.026	151.894	308.436	27.571	309.754	232.239	23.918	379.895	271.609	28.354
1156	11.55000	258.763	299.480	1659.800	178.354	472.800	1389.380	196.627	566.525	1097.614	258.723	596.355	873.659	147.860	169.250	1353.695	121.244	107.500	1047.746	188.957	60.346	835.174	202.707	496.429	813.831	263.779	456.405	445.840	-35.430	444.449	230.429	-93.554	402.997	233.168	4.965	474.228	110.012	56.440	444.315	74.929	214.624	151.613	834.569	232.621	193.187	452.393	204.421	263.465	70.353	151.807	308.450	27.641	309.904	232.399	23.884	380.010	271.988	28.120
1157	11.56000	269.458	298.827	1659.566	188.065	472.026	1389.903	202.444	566.039	1098.177	260.841	596.378	872.877	158.244	168.196	1354.058	136.094	105.640	1046.312	205.907	57.993	835.667	215.537	495.852	813.752	284.948	454.883	448.513	-9.602	443.760	227.079	-68.547	403.023	227.118	35.078	473.217	108.359	86.938	442.063	74.986	223.872	151.138	834.232	238.593	193.593	451.840	204.571	263.637	70.648	152.160	308.869	27.968	309.818	232.686	23.987	380.227	272.294	27.977
1158	11.57000	280.258	297.896	1659.615	197.965	471.121	1390.526	208.561	565.840	1099.099	262.960	596.474	872.453	168.647	167.303	1354.195	150.099	103.037	1047.058	223.361	55.946	837.230	226.397	496.045	815.605	305.372	452.912	452.541	16.131	443.479	221.490	-42.812	402.832	219.835	66.044	471.968	105.804	121.033	439.516	74.627	233.101	150.851	833.417	242.922	193.881	450.805	205.705	264.346	70.682	152.056	309.066	28.372	310.000	232.830	24.083	380.466	272.392	27.977
