NO_OF_FRAMES	136
NO_OF_CAMERAS	14
NO_OF_MARKERS	19
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2020-10-29, 15:06:34	9942.28641147
DATA_INCLUDED	3D
MARKER_NAMES	1 - Head	2 - L_Shoulder	3 - L_Elbow	4 - L_Wrist	5 - R_Shoulder	6 - R_Elbow	7 - R_Wrist	8 - L_Hip	9 - L_Knee	10 - L_Ankle	11 - L_Heel	12 - L_Meta_V	13 - L_Toe_II	14 - R_Hip	15 - R_Knee	16 - R_Ankle	17 - R_Heel	18 - R_Meta_V	19 - R_Toe_II
Frame	Time	1 - Head X	1 - Head Y	1 - Head Z	2 - L_Shoulder X	2 - L_Shoulder Y	2 - L_Shoulder Z	3 - L_Elbow X	3 - L_Elbow Y	3 - L_Elbow Z	4 - L_Wrist X	4 - L_Wrist Y	4 - L_Wrist Z	5 - R_Shoulder X	5 - R_Shoulder Y	5 - R_Shoulder Z	6 - R_Elbow X	6 - R_Elbow Y	6 - R_Elbow Z	7 - R_Wrist X	7 - R_Wrist Y	7 - R_Wrist Z	8 - L_Hip X	8 - L_Hip Y	8 - L_Hip Z	9 - L_Knee X	9 - L_Knee Y	9 - L_Knee Z	10 - L_Ankle X	10 - L_Ankle Y	10 - L_Ankle Z	11 - L_Heel X	11 - L_Heel Y	11 - L_Heel Z	12 - L_Meta_V X	12 - L_Meta_V Y	12 - L_Meta_V Z	13 - L_Toe_II X	13 - L_Toe_II Y	13 - L_Toe_II Z	14 - R_Hip X	14 - R_Hip Y	14 - R_Hip Z	15 - R_Knee X	15 - R_Knee Y	15 - R_Knee Z	16 - R_Ankle X	16 - R_Ankle Y	16 - R_Ankle Z	17 - R_Heel X	17 - R_Heel Y	17 - R_Heel Z	18 - R_Meta_V X	18 - R_Meta_V Y	18 - R_Meta_V Z	19 - R_Toe_II X	19 - R_Toe_II Y	19 - R_Toe_II Z	
867	8.66000	289.118	231.679	1661.876	198.069	399.060	1381.592	207.460	476.967	1084.382	274.868	490.770	856.510	179.712	86.804	1358.417	163.494	43.161	1046.459	218.140	-10.649	833.334	246.845	413.683	830.101	203.592	398.492	448.285	180.572	361.563	65.157	133.053	330.533	25.503	299.273	382.028	26.183	366.799	338.265	24.984	248.356	65.082	832.860	199.703	72.941	459.623	173.838	118.334	73.526	123.430	160.856	27.127	279.983	81.860	27.255	350.252	117.171	27.304
868	8.67000	289.186	231.797	1661.871	197.794	399.161	1381.683	207.149	477.426	1084.579	275.005	491.508	856.717	179.942	86.844	1358.412	163.630	43.271	1046.499	218.444	-10.509	833.376	246.621	413.839	830.157	203.542	398.701	448.171	180.200	361.470	65.170	132.922	330.510	25.524	299.288	382.204	26.284	366.721	338.175	25.009	248.875	65.286	832.866	200.534	73.347	459.793	173.735	118.300	73.784	123.483	160.938	27.186	279.931	81.827	27.314	350.242	117.149	27.438
869	8.68000	289.581	232.008	1662.059	197.647	399.297	1381.641	207.077	477.836	1084.508	275.028	492.019	856.730	180.031	86.940	1358.360	163.780	43.461	1046.352	219.372	-10.423	833.196	246.425	414.107	830.128	203.499	398.975	448.159	180.326	361.546	65.168	133.027	330.550	25.379	299.126	382.279	26.118	366.631	338.348	24.828	249.210	65.377	832.858	200.961	73.640	459.878	173.893	118.437	73.639	123.522	160.913	27.295	279.841	81.990	27.352	350.191	117.221	27.383
870	8.69000	289.833	231.956	1661.883	197.471	399.426	1381.663	207.073	478.096	1084.608	274.901	492.526	856.923	180.214	87.045	1358.222	164.524	43.900	1046.181	219.823	-10.396	833.118	246.160	414.262	830.271	203.308	399.029	448.107	180.299	361.599	65.250	132.986	330.536	25.478	299.172	382.208	25.950	366.621	338.315	24.910	249.665	65.640	832.803	201.514	73.970	459.661	174.055	118.516	73.640	123.398	160.955	27.344	279.912	82.042	27.381	350.262	117.258	27.424
871	8.70000	289.857	232.108	1661.597	197.325	399.547	1381.630	206.933	478.414	1084.625	274.744	493.148	857.104	180.286	87.122	1358.148	164.353	43.840	1046.073	220.969	-10.050	832.741	246.044	414.538	830.203	203.074	399.103	448.233	180.227	361.409	65.324	132.870	330.464	25.496	299.123	382.237	26.076	366.564	338.418	24.989	250.147	65.774	832.770	201.780	74.131	459.705	173.587	118.456	73.936	123.413	161.005	27.401	280.031	82.190	27.324	350.380	117.283	27.458
872	8.71000	290.057	232.201	1661.785	197.224	399.585	1381.563	206.926	478.745	1084.574	274.731	493.543	857.029	180.553	87.141	1357.986	165.196	44.411	1045.779	221.473	-10.137	832.768	245.711	414.788	830.188	202.950	399.237	448.225	180.454	361.604	64.855	132.868	330.436	25.476	299.193	382.371	25.982	366.467	338.385	25.122	250.954	66.089	832.521	202.367	74.329	459.647	174.289	118.885	73.615	123.561	160.974	27.339	280.094	82.265	27.287	350.290	117.274	27.380
873	8.72000	290.040	232.073	1661.650	197.164	399.682	1381.544	206.902	479.077	1084.571	274.715	494.027	857.057	180.639	87.287	1357.930	165.040	44.140	1045.775	222.343	-9.865	832.566	245.647	414.957	830.249	202.743	399.348	448.218	180.375	361.575	64.995	132.914	330.461	25.352	299.298	382.214	25.944	366.506	338.472	24.897	251.246	66.323	832.517	202.416	74.374	459.649	173.862	118.656	73.955	123.731	160.954	27.314	280.076	82.226	27.316	350.304	117.291	27.374
874	8.73000	290.506	232.554	1661.413	197.040	399.778	1381.464	206.851	479.371	1084.499	274.511	494.519	856.924	180.760	87.396	1357.810	164.966	44.104	1046.016	222.723	-9.955	832.682	245.281	415.167	830.282	202.675	399.448	448.248	180.262	361.505	64.995	132.973	330.426	25.356	299.094	382.377	25.938	366.530	338.468	25.186	251.666	66.512	832.529	202.458	74.581	459.760	173.378	118.744	74.265	123.862	161.010	27.179	279.974	82.112	27.498	350.330	117.316	27.471
875	8.74000	290.780	232.725	1661.259	196.961	399.890	1381.401	206.817	479.586	1084.457	274.315	494.988	856.792	180.960	87.484	1357.665	165.566	44.371	1045.553	223.435	-9.900	832.549	245.228	415.440	830.138	202.561	399.550	448.239	180.127	361.451	65.193	132.886	330.430	25.397	298.871	382.430	25.884	366.543	338.452	24.996	251.991	66.646	832.434	202.503	74.737	459.674	173.471	118.728	74.282	123.903	161.016	27.110	280.020	82.200	27.399	350.390	117.394	27.361
876	8.75000	290.924	232.824	1661.349	196.918	400.024	1381.310	206.816	479.766	1084.392	274.098	495.434	856.795	181.154	87.600	1357.530	166.234	44.644	1045.728	223.961	-9.822	832.580	245.136	415.703	830.260	202.404	399.631	448.339	180.215	361.476	64.962	132.742	330.381	25.469	299.114	382.554	25.868	366.466	338.498	24.943	252.585	66.762	832.343	202.078	74.750	459.737	173.467	118.681	74.261	123.969	160.972	27.094	280.025	82.209	27.398	350.414	117.332	27.313
877	8.76000	291.206	233.017	1661.132	196.894	400.150	1381.161	206.802	480.083	1084.403	273.864	495.743	856.453	181.403	87.729	1357.484	166.652	44.589	1045.442	224.923	-9.716	832.384	245.048	415.896	830.235	202.501	399.767	448.346	180.218	361.506	65.055	132.826	330.397	25.429	299.271	382.387	25.950	366.487	338.408	25.109	253.050	66.995	832.304	201.807	74.809	459.746	174.024	118.872	73.859	123.890	161.038	27.286	279.988	82.316	27.505	350.383	117.269	27.414
