X [s]	1 Gast Med [V]	2 T Ant [V]	3 R Fem [V]	4 B Fem [V]	
9.256013	6.243160e-06	2.699399e-05	1.449207e-05	4.488738e-06	
9.257013	6.247697e-06	2.746297e-05	1.486131e-05	4.496298e-06	
9.258013	6.251795e-06	2.792205e-05	1.522004e-05	4.504056e-06	
9.259014	6.255380e-06	2.837058e-05	1.556727e-05	4.511987e-06	
9.260014	6.258374e-06	2.880791e-05	1.590203e-05	4.520067e-06	
9.261014	6.260701e-06	2.923338e-05	1.622332e-05	4.528270e-06	
9.262014	6.262283e-06	2.964633e-05	1.653016e-05	4.536572e-06	
9.263014	6.263044e-06	3.004610e-05	1.682155e-05	4.544948e-06	
9.264014	6.262908e-06	3.043205e-05	1.709653e-05	4.553373e-06	
9.265014	6.261798e-06	3.080350e-05	1.735409e-05	4.561824e-06	
9.266014	6.259636e-06	3.115982e-05	1.759325e-05	4.570274e-06	
9.267014	6.256347e-06	3.150033e-05	1.781303e-05	4.578700e-06	
9.268014	6.251853e-06	3.182439e-05	1.801244e-05	4.587076e-06	
9.269014	6.246079e-06	3.213133e-05	1.819048e-05	4.595379e-06	
9.270015	6.238947e-06	3.242050e-05	1.834619e-05	4.603582e-06	
9.271015	6.230380e-06	3.269125e-05	1.847856e-05	4.611662e-06	
9.272015	6.220302e-06	3.294292e-05	1.858662e-05	4.619594e-06	
9.273015	6.208636e-06	3.317484e-05	1.866937e-05	4.627353e-06	
9.274015	6.195306e-06	3.338637e-05	1.872583e-05	4.634915e-06	
9.275015	6.180238e-06	3.357687e-05	1.875506e-05	4.642255e-06	
9.276015	6.163455e-06	3.374616e-05	1.875700e-05	4.649375e-06	
9.277015	6.145069e-06	3.389450e-05	1.873249e-05	4.656301e-06	
9.278015	6.125199e-06	3.402220e-05	1.868241e-05	4.663058e-06	
9.279015	6.103963e-06	3.412953e-05	1.860764e-05	4.669674e-06	
9.280015	6.081478e-06	3.421679e-05	1.850905e-05	4.676175e-06	
9.281016	6.057861e-06	3.428427e-05	1.838752e-05	4.682588e-06	
9.282016	6.033232e-06	3.433226e-05	1.824394e-05	4.688939e-06	
9.283016	6.007707e-06	3.436105e-05	1.807916e-05	4.695255e-06	
9.284016	5.981404e-06	3.437093e-05	1.789408e-05	4.701562e-06	
9.285016	5.954442e-06	3.436219e-05	1.768957e-05	4.707887e-06	
9.286016	5.926938e-06	3.433511e-05	1.746651e-05	4.714257e-06	
9.287016	5.899009e-06	3.429000e-05	1.722577e-05	4.720698e-06	
9.288016	5.870774e-06	3.422714e-05	1.696823e-05	4.727236e-06	
9.289016	5.842351e-06	3.414681e-05	1.669477e-05	4.733899e-06	
9.290016	5.813856e-06	3.404932e-05	1.640627e-05	4.740713e-06	
9.291016	5.785409e-06	3.393495e-05	1.610360e-05	4.747704e-06	
9.292017	5.757126e-06	3.380398e-05	1.578764e-05	4.754899e-06	
9.293017	5.729126e-06	3.365672e-05	1.545927e-05	4.762325e-06	
9.294017	5.701526e-06	3.349345e-05	1.511936e-05	4.770008e-06	
9.295017	5.674445e-06	3.331446e-05	1.476879e-05	4.777974e-06	
9.296017	5.647999e-06	3.312003e-05	1.440844e-05	4.786251e-06	
9.297017	5.622307e-06	3.291047e-05	1.403918e-05	4.794865e-06	
9.298017	5.597487e-06	3.268606e-05	1.366190e-05	4.803842e-06	
9.299017	5.573656e-06	3.244710e-05	1.327747e-05	4.813209e-06	
9.300017	5.550932e-06	3.219386e-05	1.288677e-05	4.822993e-06	
9.301017	5.529433e-06	3.192664e-05	1.249067e-05	4.833220e-06	
9.302017	5.509277e-06	3.164574e-05	1.209005e-05	4.843917e-06	
9.303017	5.490581e-06	3.135144e-05	1.168579e-05	4.855110e-06	
9.304018	5.473464e-06	3.104402e-05	1.127877e-05	4.866826e-06	
9.305018	5.458043e-06	3.072379e-05	1.086985e-05	4.879091e-06	
9.306018	5.444435e-06	3.039104e-05	1.045993e-05	4.891932e-06	
9.307018	5.432760e-06	3.004604e-05	1.004988e-05	4.905376e-06	
9.308018	5.423134e-06	2.968910e-05	9.640570e-06	4.919450e-06	
9.309018	5.415675e-06	2.932050e-05	9.232882e-06	4.934179e-06	
9.310018	5.410501e-06	2.894053e-05	8.827693e-06	4.949590e-06	
9.311018	5.407730e-06	2.854948e-05	8.425879e-06	4.965710e-06	
9.312018	5.407480e-06	2.814765e-05	8.028319e-06	4.982566e-06	
9.313018	5.409868e-06	2.773531e-05	7.635888e-06	5.000184e-06	
9.314018	5.415013e-06	2.731277e-05	7.249465e-06	5.018590e-06	
9.315019	5.423032e-06	2.688032e-05	6.869927e-06	5.037812e-06	
9.316019	5.434042e-06	2.643824e-05	6.498150e-06	5.057875e-06	
9.317019	5.448163e-06	2.598682e-05	6.135011e-06	5.078807e-06	
9.318019	5.465510e-06	2.552635e-05	5.781389e-06	5.100634e-06	
9.319019	5.486203e-06	2.505713e-05	5.438160e-06	5.123382e-06	
9.320019	5.510359e-06	2.457944e-05	5.106201e-06	5.147078e-06	
9.321019	5.538096e-06	2.409357e-05	4.786389e-06	5.171749e-06	
9.322019	5.569532e-06	2.359982e-05	4.479601e-06	5.197421e-06	
9.323019	5.604784e-06	2.309847e-05	4.186716e-06	5.224121e-06	
9.324019	5.643970e-06	2.258981e-05	3.908609e-06	5.251875e-06	
9.325019	5.687202e-06	2.207416e-05	3.646132e-06	5.280708e-06	
9.326020	5.734454e-06	2.155217e-05	3.399549e-06	5.310596e-06	
9.327020	5.785564e-06	2.102489e-05	3.168552e-06	5.341464e-06	
9.328020	5.840367e-06	2.049333e-05	2.952810e-06	5.373239e-06	
9.329020	5.898695e-06	1.995856e-05	2.751990e-06	5.405847e-06	
9.330020	5.960383e-06	1.942160e-05	2.565760e-06	5.439211e-06	
9.331020	6.025263e-06	1.888350e-05	2.393788e-06	5.473259e-06	
9.332020	6.093170e-06	1.834530e-05	2.235741e-06	5.507914e-06	
9.333020	6.163936e-06	1.780804e-05	2.091288e-06	5.543103e-06	
9.334020	6.237396e-06	1.727275e-05	1.960096e-06	5.578751e-06	
9.335020	6.313382e-06	1.674049e-05	1.841834e-06	5.614782e-06	
9.336020	6.391728e-06	1.621228e-05	1.736169e-06	5.651123e-06	
9.337021	6.472267e-06	1.568918e-05	1.642770e-06	5.687699e-06	
9.338021	6.554834e-06	1.517222e-05	1.561303e-06	5.724435e-06	
9.339021	6.639261e-06	1.466243e-05	1.491437e-06	5.761256e-06	
9.340021	6.725382e-06	1.416087e-05	1.432840e-06	5.798088e-06	
9.341021	6.813031e-06	1.366857e-05	1.385179e-06	5.834856e-06	
9.342021	6.902041e-06	1.318658e-05	1.348123e-06	5.871485e-06	
9.343021	6.992245e-06	1.271593e-05	1.321339e-06	5.907901e-06	
9.344021	7.083477e-06	1.225766e-05	1.304496e-06	5.944029e-06	
9.345021	7.175570e-06	1.181281e-05	1.297260e-06	5.979794e-06	
9.346021	7.268358e-06	1.138243e-05	1.299301e-06	6.015122e-06	
9.347021	7.361674e-06	1.096755e-05	1.310286e-06	6.049938e-06	
9.348022	7.455353e-06	1.056922e-05	1.329882e-06	6.084167e-06	
